"Time","YAW_RATE","STEERING_TORQUE","ACCEL_Y","BRAKE_AMOUNT","BRAKE_PEDAL","ENCODER","SPEED","CHECKSUM","CRUISE_ACTIVE","GAS_RELEASED","STANDSTILL_ON","ACCEL_NET","CRUISE_STATE","CANCEL_REQ","MAIN_ON","LOW_SPEED_LOCKOUT","SET_SPEED","GAS_PEDAL","DISTANCE_LINES","CRUISE_CONTROL_STATE","UI_SET_SPEED","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","VIN_13","VIN_14","VIN_15","VIN_16","VIN_17","UNITS","ODOMETER","DOOR_OPEN_FL","DOOR_OPEN_FR","DOOR_OPEN_RR","DOOR_OPEN_RL","SEATBELT_DRIVER_UNLATCHED"
"s","deg/sec","","m/s^2","","","","kph","","","","","m/s2","","","","kph","kph","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.548","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.595","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.626","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.706","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.738","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.849","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21.976","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.117","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.260","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.339","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0"
"22.355","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.371","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.451","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.482","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.608","-0.072","3","-0.251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
